Solicitud;Nombre_Ini;Codigo_Bip;Anio_Presu;Etapa;Latitud;Longitud;Institucio;Instituc_1;Tipo_Insti;Tipo_Ins_1;Costo_Tota;Costo_To_1;Costo_To_2;Dimensione;Subdimensi;Estado;Region;comuna;RATE;LUMINARIAS;UV_RECOLET;REV_FUENTE
21334543;REPOSICION Y CONSTRUCCION DE VEREDAS SECTOR 2,  SAN MIGUEL;30486606-0;2020;EJECUCION;-33,51257713;-70,66490578;Municipalidad De San Miguel;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;2920088;100,45;4105,63;Movilidad;Vía peatonal;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;SAN MIGUEL;Objetado Técnicamente, se concluye que no es conveniente llevar a cabo la inversión.;0;;KMZ
22172846;REPOSICION ZONA DE JUEGOS EN PLAZAS Y PARQUES - COMUNA DE SANTIAGO;40018375-0;2021;EJECUCION;-33,44620569;-70,66014692;Municipalidad De Santiago;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;2368447;76,42;2785,59;Equipamiento;Áreas verdes;No Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Falta Información, antecedentes presentados no justifican la iniciativa.;0;;KMZ
22889381;REPOSICION Y CONSTRUCCION DE VEREDAS SECTOR 1, SAN MIGUEL;30122174-0;2022;EJECUCION;-33,50293473;-70,65512872;Municipalidad De San Miguel;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;3096360;88,19;3602,47;Movilidad;Vía peatonal;Construido;REGIÓN METROPOLITANA DE SANTIAGO;SAN MIGUEL;Recomendación Favorable, recomendado sin observaciones.;0;;KMZ
20772797;MEJORAMIENTO PARQUE SANTA JULIA, COMUNA DE ÑUÑOA;30081912-0;2019;EJECUCION;-33,4686504;-70,5895284;Municipalidad De Ñuñoa;Servicio Vivienda Y Urbanizacion Región Metropolitana De Santiago;Municipalidad;Ministerial / Sectorial;818522;28,91;1099,25;Equipamiento;Áreas verdes;Construido;REGIÓN METROPOLITANA DE SANTIAGO;ÑUÑOA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
17484334;REPOSICION PARQUE ESTEBAN GUMUCIO, COMUNA DE LA GRANJA;30095031-0;2013;EJECUCION;-33,52065494;-70,63170952;Municipalidad De La Granja;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;1368934;58,73;2613,67;Equipamiento;Áreas verdes;Construido;REGIÓN METROPOLITANA DE SANTIAGO;LA GRANJA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
18697583;CONSTRUCCION PARQUE SUBCENTRO, ETAPA II, LA PINTANA;30103082-0;2015;EJECUCION;-33,58706955;-70,63226578;Municipalidad De La Pintana;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;797647;31,12;1127,67;Equipamiento;Áreas verdes;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;LA PINTANA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
19185870;CONSTRUCCION PARQUE EL ROBLE COMUNA DE LA PINTANA;30103154-0;2016;EJECUCION;-33,56023084;-70,64229888;Municipalidad De La Pintana;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;745995;28,31;1117,95;Equipamiento;Áreas verdes;Sin Información;REGIÓN METROPOLITANA DE SANTIAGO;LA PINTANA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
19180447;REPOSICION PARQUE COMBARBALÁ, COMUNA DE LA GRANJA;30108040-0;2016;EJECUCION;-33,53013253;-70,62832336;Municipalidad De La Granja;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;2090602;79,35;3132,97;Equipamiento;Áreas verdes;Construido;REGIÓN METROPOLITANA DE SANTIAGO;LA GRANJA;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
19698653;REPOSICION LUMINARIAS PÚBLICAS SECTOR CUATRO - COMUNA DE SANTIAGO;30291372-0;2017;EJECUCION;-33,4599171;-70,65010929;Municipalidad De Santiago;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;6176024;230,46;10038,72;Seguridad;Estructura de seguridad;Construido;REGIÓN METROPOLITANA DE SANTIAGO;SANTIAGO;Recomendación Favorable, recomendado sin observaciones.;0;;KMZ
22273996;CONSTRUCCION PARQUE MARATHON COMUNA DE MACUL;30312723-0;2021;EJECUCION;-33,50682032;-70,60901529;Municipalidad De Macul;Gobierno Regional - Región Metropolitana De Santiago;Municipalidad;Gobierno Regional;1134781;36,62;1334,64;Equipamiento;Áreas verdes;Construido;REGIÓN METROPOLITANA DE SANTIAGO;MACUL;Recomendación Favorable, recomendado sin observaciones.;0;;SHP ÁREAS VERDES
